nome,data,total
Armando Lago,2016-01-01,8053.60
Iberê Lacerda,2016-01-01,150.40
Jéssica Castelão,2016-01-02,6087.00
Hélio Liberato,2016-01-02,13828.60
Napoleão Méndez,2016-01-03,26096.66
Simão Rivero,2016-01-04,18402.00
Simão Rivero,2016-01-06,7524.20
Iberê Lacerda,2016-01-06,12036.60
Jéssica Castelão,2016-01-06,2804.75
Capitolino Bahía,2016-01-06,8852.00
Armando Lago,2016-01-08,16545.25
Jéssica Castelão,2016-01-09,11411.88
Godo Capiperibe,2016-01-10,15829.70
Daniel Pirajá,2016-01-12,6154.36
Godo Capiperibe,2016-01-12,3255.08
Jéssica Castelão,2016-01-13,2901.25
Capitolino Bahía,2016-01-13,15829.70
Tobias Furtado,2016-01-14,16996.36
Tobias Furtado,2016-01-14,155.00
Simão Rivero,2016-01-15,131.75
Daniel Pirajá,2016-01-17,2521.10
Capitolino Bahía,2016-01-17,7652.04
Capitolino Bahía,2016-01-17,2955.00
Armando Lago,2016-01-18,274.55
Capitolino Bahía,2016-01-19,11290.19
Capitolino Bahía,2016-01-21,8979.84
Simão Rivero,2016-01-21,3540.83
Jéssica Castelão,2016-01-22,2260.58
Armando Lago,2016-01-22,5910.00
Godo Capiperibe,2016-01-23,7128.70
Simão Rivero,2016-01-23,4711.47
Daniel Pirajá,2016-01-24,14284.70
Godo Capiperibe,2016-01-24,8940.98
Godo Capiperibe,2016-01-24,15822.40
Armando Lago,2016-01-26,263.08
Capitolino Bahía,2016-01-27,18838.35
Jéssica Castelão,2016-01-27,6510.16
Capitolino Bahía,2016-01-27,9201.00
Iberê Lacerda,2016-01-27,4780.74
Hélio Liberato,2016-01-29,5932.00
Capitolino Bahía,2016-01-30,2989.15
Armando Lago,2016-01-30,13080.03
Daniel Pirajá,2016-02-01,306.58
Capitolino Bahía,2016-02-02,7524.20
Armando Lago,2016-02-02,115.00
Napoleão Méndez,2016-02-03,7296.08
Godo Capiperibe,2016-02-05,21155.46
Tobias Furtado,2016-02-08,5865.00
Godo Capiperibe,2016-02-09,5922.51
Armando Lago,2016-02-09,2857.40
Godo Capiperibe,2016-02-09,5858.37
Daniel Pirajá,2016-02-10,8500.97
Jéssica Castelão,2016-02-10,12096.56
Armando Lago,2016-02-11,7753.70
Capitolino Bahía,2016-02-11,13940.17
Capitolino Bahía,2016-02-12,11112.58
Napoleão Méndez,2016-02-13,13018.60
